artistName,title,appleMusicID,deezerID,dateAdded,isTrack
MOTi,Lion (In My Head) - Single,1205289156,None,2018-03-04T23:16:27Z,False
P!nk,The Truth About Love,545398133,None,2018-02-02T11:38:10Z,False
James,The Best of James,1445903886,None,2018-02-02T11:16:03Z,False
Kristofer Maddigan,Cuphead (Original Soundtrack),1305353572,None,2017-12-29T12:38:28Z,False
deadmau5,> album title goes here <,561758043,None,2017-12-07T11:08:23Z,False
Kero One & Azure,Kero & Azure,1226191132,None,2017-10-22T12:20:51Z,False
Party in Backyard,Bigger Better Stronger - Single,1457371395,None,2017-10-09T15:10:17Z,False
Sam Smith,The Thrill of It All (Special Video Edition),1536646939,None,2017-09-08T20:46:17Z,False
Various Artists,Melbourne Bounce,648630619,None,2017-08-10T20:47:56Z,False
Floreyyyy,Thrill Divine - Single,1263518107,None,2017-07-26T03:18:41Z,False
Floreyyyy,Timeless - Single,1258199721,None,2017-07-26T03:18:39Z,False
A Billion Robots,F**k This Party EP,1243709015,None,2017-07-12T15:33:57Z,False
B3nte,Trippin - Single,1085069080,None,2017-07-09T01:04:19Z,False
Krewella,Get Wet,689472430,None,2017-07-02T11:31:25Z,False
D!RTY PALM,Bounce Bitch - EP,980796203,None,2017-06-26T01:18:40Z,False
D!RTY PALM,Keep It Goin' - Single,1043726139,None,2017-06-26T01:08:26Z,False
GTA,DTG, Vol. 1,975377795,None,2017-05-24T10:23:57Z,False
GTA,DTG, Vol. 2 - EP,1057580073,None,2017-05-06T14:50:31Z,False
The Presidents of the United States of America,The Presidents of the United States of America (10th Aniversary Edition),28397418,None,2020-05-31T00:06:11Z,False
Muse,The 2nd Law (Deluxe Version),563015686,None,2017-02-26T23:31:13Z,False
Various Artists,Disciple 01: Purgatory,1321213044,None,2017-01-05T00:39:06Z,False
Doctor P & Flux Pavilion,Circus Three,1166812072,None,2016-12-06T22:09:23Z,False
Good Times Ahead,Good Times Ahead,1145590444,None,2016-11-25T15:54:22Z,False
Good Times Ahead & Juyen Sebulba,Hard House - Single,890020396,None,2016-11-24T00:36:32Z,False
Grouplove,Spreading Rumours (Deluxe),654438896,None,2016-11-22T03:12:46Z,False
Two Door Cinema Club,Tourist History,1451370902,None,2016-11-22T03:12:17Z,False
Smashing Pumpkins,Siamese Dream (Deluxe Edition),721207206,None,2016-11-22T03:09:24Z,False
Mr. Probz,Waves (Robin Schulz Radio Edit) - Single,1532427204,None,2016-11-10T23:45:30Z,False
Showtek,We Like To Party - Single,1425478199,None,2016-09-30T20:23:02Z,False
Ramones,Hey Ho Let's Go: Greatest Hits,853504022,None,2016-09-26T00:56:40Z,False
Miike Snow,iii,1061243224,None,2016-09-21T09:10:30Z,False
Paolo Nutini,Sunny Side Up (Bonus Track Version),317236457,None,2016-09-16T23:15:52Z,False
Alessia Cara,Know-It-All (Deluxe),1523769634,None,2016-11-21T03:03:48Z,False
La+ch,+,971372764,None,2016-08-01T14:58:53Z,False
Various Artists,No Equal, Vol. 3,1065728572,None,2016-08-01T14:28:14Z,False
Marshmello,Joytime,1072189405,None,2016-07-06T13:59:54Z,False
Don't Hug Me I'm Scared,The Love Song - Single,945527001,None,2016-07-04T19:31:21Z,False
Don't Hug Me I'm Scared,The Computer Song - Single,1020824997,None,2016-07-04T19:31:20Z,False
