artistName,title,appleMusicID,deezerID,dateAdded,isTrack
Twinsmith,Stay Cool,1227040071,None,2022-06-30T16:05:36Z,False
Fancy Feelings,True Bliss (Mix for Lovers) [feat. Ria] - Single,1482386022,None,2022-06-30T14:33:38Z,False
DAODA,Pacific - Single,1009014246,None,2022-06-30T14:26:01Z,False
Kursiva,Nasty - Single,1524278556,None,2022-06-30T05:13:39Z,False
DJ S.K.T,Take Me Away (feat. Rae) [Remixes] - EP,997095839,None,2022-06-30T04:56:26Z,False
Urbandawn,Torus / Words to Say - Single,1284238493,None,2022-06-30T04:35:17Z,False
Gydra,Killparty - EP,1317157744,None,2022-06-30T04:22:48Z,False
REAPER & SYN,Levitate - Single,1542655225,None,2022-06-30T04:13:09Z,False
Noizesplitter,Dirty Talk - Single,1523036095,None,2022-06-30T04:01:53Z,False
Zigi SC,Stepper - Single,1584809199,None,2022-06-30T03:58:42Z,False
Armin van Buuren,Lost Tapes,1523045960,None,2022-06-30T03:50:26Z,False
Freaks & Geeks,Waiting For You - Single,1574902759,None,2022-06-21T18:36:15Z,False
K Motionz,Tell You - Single,1568672292,None,2022-06-21T17:57:35Z,False
Weezer,SZNZ: Summer,1628433682,None,2022-06-21T17:06:25Z,False
Sub Focus,Off The Ground - Single,1627617897,None,2022-06-20T21:42:37Z,False
Goldroom,West of the West,1442992949,None,2022-06-20T17:31:16Z,False
AIRGLO,The Song / Desert Heart - Single,1608941182,None,2022-06-20T16:13:46Z,False
Freaks & Geeks,Freefalling - Single,1585340391,None,2022-06-20T14:26:08Z,False
Wilkinson & Issey Cross,Used To This (ATRIP Remix) - Single,1627296862,None,2022-06-20T14:10:01Z,False
Vicetone,Barcelona Nights - Single,1627188942,None,2022-06-20T14:09:45Z,False
Notaker,You Ever Wonder? - Single,1615346596,None,2022-06-20T14:09:40Z,False
Dossa & Locuzzed & Redshift Biedermeier,Glow - Single,1625340222,None,2022-06-20T14:09:32Z,False
Fred V,Climbing the Walls (feat. Paul Dowling) - Single,1624580322,None,2022-06-20T14:09:14Z,False
deadmau5,XYZ - Single,1624579359,None,2022-06-20T14:08:21Z,False
Subsonic,Interdance - Single,1614234590,None,2022-06-18T14:39:02Z,False
Synergy,Obsession - Single,1626453261,None,2022-06-18T14:37:49Z,False
Biig Piig,Switch - Single,1502300530,None,2022-06-17T16:30:33Z,False
Sub Focus & Wilkinson,Sub Focus & Wilkinson present: Portals at EDC Las Vegas 2022: Bass Pod Stage (DJ Mix),1629254655,None,2022-06-16T12:21:37Z,False
Eli Brown,Sumatra - EP,1300357331,None,2022-06-15T12:37:35Z,False
i_o,Not Techno - Single,1391497138,None,2022-06-14T16:11:29Z,False
Jauz & Io,Truth - Single,1468541672,None,2022-06-14T15:21:32Z,False
i_o,Death by Techno - Single,1459365635,None,2022-06-14T16:03:19Z,False
Various Artists,Flashback,1646133520,None,2022-06-12T18:48:10Z,False
Armin van Buuren,A State of Trance Forever,1586379819,None,2022-06-09T16:30:22Z,False
Harry Styles,Harry's House,1615584999,None,2022-06-09T12:16:14Z,False
Dimension,Digital World (feat. Cyantific) - Single,886675844,None,2022-06-08T16:27:02Z,False
Justin Bieber,Honest (feat. Don Toliver) - Single,1620928020,None,2022-06-07T17:58:33Z,False
Arkells & Cold War Kids,Past Life - Single,1622044407,None,2022-06-03T11:07:12Z,False
skantia,Common Ground,1623816949,None,2022-06-03T11:04:43Z,False
Rezz & fknsyd,Sweet Dreams (Are Made Of This) - Single,1623896658,None,2022-06-03T11:04:39Z,False
Flowidus,Fire (feat. Matisse) - Single,1556437951,None,2022-06-02T16:45:31Z,False
Friction,Dare - EP,1094331385,None,2022-06-02T15:51:17Z,False
Krakota,Be The Reason - Single,1579699914,None,2022-06-02T15:34:52Z,False
Oliver Tree,Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe),1569456892,None,2022-06-02T13:07:42Z,False
Mountain,Mountain,1603464216,None,2022-06-01T01:38:12Z,False
KAZUKI KATSUTA,Midnight Ride - Single,1599703820,None,2022-05-27T18:39:52Z,False
KAZUKI KATSUTA,Race to Mt. Fuji - Single,1599703842,None,2022-05-27T18:39:41Z,False
The Front Bottoms,Voodoo Magic - Single,1570358134,None,2022-05-23T18:01:55Z,False
Upgrade (UK),Intermission EP,1621778607,None,2022-05-22T14:43:09Z,False
Delta Heavy,Paradise Lost,1444905878,None,2022-05-22T13:45:54Z,False
1991 & Empara Mi,We All Need Someone - Single,1620970133,None,2022-05-22T13:33:05Z,False
Kx5, deadmau5 & Kaskade,Escape (feat. Hayla) - Single,1610019676,None,2022-05-21T15:04:36Z,False
Sub Focus & Gene Farris,It’s Time - Single,1622751501,None,2022-05-20T18:31:02Z,False
Maduk,Never Give Up,1091659825,None,2022-05-20T15:27:06Z,False
Marc Rebillet,Vaccinated Attitude - Single,1560054490,None,2022-05-18T17:08:47Z,False
The Tragically Hip,Phantom Power,1440826990,None,2022-05-18T16:11:54Z,False
Alar & Korolova,Symphony (feat. Yann Menge) [Dub Mix] - Single,1565181273,None,2022-05-17T19:53:00Z,False
Marc Rebillet,Europe,1477420785,None,2022-05-18T17:33:20Z,False
Marc Rebillet,Loop Daddy III,1533566474,None,2022-05-16T15:15:57Z,False
Tyga & Doja Cat,Freaky Deaky - Single,1611219510,None,2022-05-15T15:33:06Z,False
REAPER,Disruptor,1661162263,None,2022-05-13T15:17:53Z,False
skantia,Dreams - Single,1614630487,None,2022-05-13T14:55:45Z,False
Feint & Boxplot,Heartstrings - Single,1600749631,None,2022-05-13T14:39:11Z,False
S.P.Y,Shelter - Single,1619332347,None,2022-05-13T14:30:10Z,False
Post Malone,Twelve Carat Toothache,1623192950,None,2022-06-03T04:07:23Z,False
skantia,Esoteric - Single,1614630758,None,2022-05-13T14:10:31Z,False
Harley D,Enter The Rave - EP,1619354267,None,2022-05-13T14:03:00Z,False
Boxplot,Here & Now,1608051865,None,2022-05-13T14:39:26Z,False
Bert H & Cutworx,See You There - Single,1616541245,None,2022-05-13T12:39:51Z,False
Noisia,Closer,1623187594,None,2022-05-13T11:19:49Z,False
San Holo,bb u ok? Deluxe,1614621024,None,2022-05-06T14:13:59Z,False
Danzel,Pump It Up!,296397178,None,2022-04-09T15:58:35Z,False
Various Artists,X4 - EP,1598932112,None,2022-03-25T17:00:14Z,False
Above & Beyond,Group Therapy 476,1614919814,None,2022-03-23T19:21:54Z,False
Various Artists,The Sound of Drum & Bass 2016 (Viper Presents),1565400317,None,2022-03-10T18:00:38Z,False
London Elektricity,Meteorites (Remixes) [feat. Elsa Esmeralda] - EP,433409552,None,2022-03-05T08:21:17Z,False
MUZZ & Koven,Catharsis X - Single,1604774549,None,2022-02-09T17:03:53Z,False
Various Artists,Confession X Night Bass: The Album,1600968285,None,2022-01-25T05:36:56Z,False
Boys Noize,Out of the Black,560640596,None,2021-12-16T19:09:59Z,False
2caves,Luminance EP,1232274168,None,2021-12-15T18:46:55Z,False
RAIZHELL,Grey - Single,1592373253,None,2021-12-01T20:06:34Z,False
Juice WRLD,Legends Never Die (Video Version),1528431187,None,2021-11-15T16:24:46Z,False
Sub Focus,Reworks I,1586847932,None,2021-09-22T21:40:19Z,False
Wolfgang Gartner,Weekend In America (Bonus Track Version),464119402,None,2021-09-08T17:46:41Z,False
Chase & Status,No More Idols (Deluxe Edition),1445841091,None,2021-08-30T03:07:02Z,False
Various Artists,Aft25party - EP,1567049989,None,2021-07-22T15:04:40Z,False
Various Artists,Hacknet Labyrinths (Soundtrack),1265674668,None,2021-05-14T17:10:39Z,False
Cajmere,Too Underground For the Main Stage,647422476,None,2021-04-23T20:50:41Z,False
Friction,Good to Me - Single,1484465347,None,2021-03-27T14:21:21Z,False
Ludwig Ahgren,A Very Mogul Christmas - EP,1544423551,None,2020-12-19T06:50:04Z,False
Matt Watson,Ouch! - EP,1676153574,None,2020-09-04T15:33:51Z,False
Various Artists,Drum & Bass Summer Slammers 2016 (Viper Presents),1565323423,None,2020-07-14T04:12:43Z,False
MUZZ,Out There (feat. MVE) - Single,1518365888,None,2020-07-05T20:36:38Z,False
Various Artists,Hospital: We Are 21,1179453307,None,2020-07-01T15:16:34Z,False
TC,Unleash the Wolves,1117938582,None,2020-07-01T15:06:45Z,False
Flyingkitty & Party in Backyard,Coffin Dance GTA SA - Single,1516209658,None,2020-06-06T14:51:23Z,False
Chris Lake & Solardo,Free Your Body - Single,1479619558,None,2020-04-24T23:53:26Z,False
Melleefresh & deadmau5,Hey Baby - Single,844271084,None,2020-03-29T07:58:05Z,False
Various Artists,Pure Rock,1486150796,None,2020-03-08T23:20:49Z,False
MixAndMash,Moonflower,1477772968,None,2019-12-18T23:57:55Z,False
Various Artists,We Are Friends, Vol. 9,1489214107,None,2019-12-13T08:31:06Z,False
Weezer,Weezer (White Album) [Deluxe Edition],1160756134,None,2019-12-11T18:57:32Z,False
Zeds Dead,Rude Boy - Single,1534371234,None,2019-10-19T10:57:33Z,False
Arkells,High Noon (Deluxe),1260751542,None,2019-10-09T12:13:40Z,False
Kubbi,Circuithead,1318903187,None,2019-09-06T03:34:04Z,False
13,Revelation - Single,1451317718,None,2019-09-17T15:09:56Z,False
Toby Fox,UNDERTALE Soundtrack,1119806348,None,2020-03-04T13:49:56Z,False
CharlesTheFirst,The Ascent,1446523599,None,2019-02-12T00:36:02Z,False
Aiobahn & Vin,About U - Single,1379105787,None,2019-01-15T23:38:38Z,False
The Offspring,Smash (2008 Remaster),1485043082,None,2020-05-19T14:46:31Z,False
A Tribe Called Red,Stadium Pow Wow (feat. Black Bear) - Single,1118432176,None,2018-12-02T19:07:57Z,False
White Shag,White Shag,1246609558,None,2018-10-08T20:50:48Z,False
Model 500,Digital Solutions,1509333920,None,2018-10-08T20:50:48Z,False
Hellberg,New York City (Hellberg Remix) - Single,1412959637,None,2018-10-01T09:12:41Z,False
Unlike Pluto,Pluto Tapes,1449780278,None,2018-09-09T18:03:20Z,False
